accuracy,completeness,fluency,prosodic,total,words,speaker,gender,age,split,id
8,10.0,7,7,7,"[{'accuracy': 10, 'phones': array(['SH', 'IY0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'SHE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'ER0', 'N', 'D'], dtype=object), 'phones-accuracy': array([1.8, 2. , 2. , 2. ]), 'stress': 10, 'text': 'TURNED', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['R', 'AW0', 'N', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'ROUND', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AE0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'AS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'EY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THEY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 5, 'phones': array(['EH1', 'N', 'T', 'AH0', 'D'], dtype=object), 'phones-accuracy': array([0.8, 1.6, 2. , 2. , 2. ]), 'stress': 10, 'text': 'ENTERED', 'total': 6, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100004
7,10.0,7,7,7,"[{'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([1.6, 2. ]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['V', 'OY0', 'S'], dtype=object), 'phones-accuracy': array([1.8, 1.6, 2. ]), 'stress': 10, 'text': 'VOICE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['K', 'EY0', 'M'], dtype=object), 'phones-accuracy': array([2. , 1.8, 1.6]), 'stress': 10, 'text': 'CAME', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'R', 'AH0', 'M'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8, 1.8]), 'stress': 10, 'text': 'FROM', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'B', 'AH1', 'V'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'ABOVE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'EH0', 'M'], dtype=object), 'phones-accuracy': array([2. , 1.8, 2. ]), 'stress': 10, 'text': 'THEM', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100009
8,10.0,8,7,8,"[{'accuracy': 10, 'phones': array(['HH', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'HE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'EY0', 'D'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.2]), 'stress': 10, 'text': 'MADE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'OW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'SO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AE0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'AS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'AH0', 'T'], dtype=object), 'phones-accuracy': array([2. , 1.6, 1.6]), 'stress': 10, 'text': 'NOT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'TO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['B', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'BE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'F', 'R', 'EY1', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'AFRAID', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100031
8,10.0,7,8,7,"[{'accuracy': 10, 'phones': array(['W', 'AH0', 'T'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'WHAT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AH0', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'WHAT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['D', 'IH0', 'D'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.6]), 'stress': 10, 'text': 'DID', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['HH', 'IY0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'HE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AA0', 'N', 'T'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.8]), 'stress': 10, 'text': 'WANT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'EH0', 'R'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'THERE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100034
8,10.0,8,8,8,"[{'accuracy': 10, 'phones': array(['DH', 'AE0', 'T', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': ""THAT'S"", 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AH0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'WAS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['D', 'IH1', 'F', 'R', 'AH0', 'N', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2., 2., 2.]), 'stress': 5, 'text': 'DIFFERENCE', 'total': 9, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100037
8,10.0,6,6,7,"[{'accuracy': 10, 'phones': array(['DH', 'EH0', 'R'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'THERE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'EH0', 'R'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'WHERE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'OW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'NO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['M', 'IY0', 'N', 'Z'], dtype=object), 'phones-accuracy': array([2. , 1.6, 2. , 1.4]), 'stress': 10, 'text': 'MEANS', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'V'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'OF', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['D', 'UW1', 'IH0', 'NG'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'DOING', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IT', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100041
8,10.0,8,8,8,"[{'accuracy': 10, 'phones': array(['B', 'AH0', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'BUT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'AH0', 'CH'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'SUCH', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'EY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'WAY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AO0', 'L'], dtype=object), 'phones-accuracy': array([2. , 1.4]), 'stress': 10, 'text': 'ALL', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'R', 'EY0', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'GREAT', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100047
8,10.0,9,8,8,"[{'accuracy': 10, 'phones': array(['DH', 'EY0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'THEY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AO0', 'L'], dtype=object), 'phones-accuracy': array([2. , 1.6]), 'stress': 10, 'text': 'ALL', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'EH0', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'SAID', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'UH0', 'D', 'B', 'AY1'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'GOODBYE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100066
9,10.0,8,8,8,"[{'accuracy': 10, 'phones': array(['AY0'], dtype=object), 'phones-accuracy': array([2.]), 'stress': 10, 'text': 'I', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['D', 'IH0', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'DID', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'AY0', 'S', 'EH1', 'L', 'F'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'MYSELF', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'OW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'SO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AY0'], dtype=object), 'phones-accuracy': array([2.]), 'stress': 10, 'text': 'I', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'OW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'KNOW', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AH0', 'T'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'WHAT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'IH0', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'THIS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'AY0', 'K'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'LIKE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100081
9,10.0,9,8,9,"[{'accuracy': 10, 'phones': array(['AY0'], dtype=object), 'phones-accuracy': array([2.]), 'stress': 10, 'text': 'I', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'EH0', 'N', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'WENT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AW0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'OUT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'AA0', 'S', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'LAST', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100092
7,10.0,6,6,6,"[{'accuracy': 10, 'phones': array(['W', 'IH1', 'M', 'IH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'WOMEN', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'EY0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'SAY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['DH', 'OW0', 'Z'], dtype=object), 'phones-accuracy': array([1.2, 1.6, 1.4]), 'stress': 10, 'text': 'THOSE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['TH', 'IH0', 'NG', 'Z'], dtype=object), 'phones-accuracy': array([1.4, 2. , 2. , 1.8]), 'stress': 10, 'text': 'THINGS', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['B', 'AH0', 'T'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'BUT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'EH1', 'V', 'ER0'], dtype=object), 'phones-accuracy': array([2. , 1.2, 2. , 2. ]), 'stress': 10, 'text': 'NEVER', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['D', 'UH0'], dtype=object), 'phones-accuracy': array([2. , 1.6]), 'stress': 10, 'text': 'DO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0', 'M'], dtype=object), 'phones-accuracy': array([2. , 1.4, 1.8]), 'stress': 10, 'text': 'THEM', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100100
8,10.0,7,7,7,"[{'accuracy': 10, 'phones': array(['DH', 'IY0', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.6]), 'stress': 10, 'text': 'THESE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['V', 'IH1', 'Z', 'IH0', 'T', 'IH0', 'D'], dtype=object), 'phones-accuracy': array([1.8, 2. , 2. , 2. , 2. , 2. , 2. ]), 'stress': 10, 'text': 'VISITED', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['SH', 'IY0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'SHE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['R', 'IH0', 'T', 'ER1', 'N', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'RETURNED', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100101
8,10.0,8,7,7,"[{'accuracy': 10, 'phones': array(['IH0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'OW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'SO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'EY1', 'CH', 'ER0'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'NATURE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'EY0', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'MADE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100105
10,10.0,8,8,9,"[{'accuracy': 10, 'phones': array(['AE0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'AS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AY0'], dtype=object), 'phones-accuracy': array([2.]), 'stress': 10, 'text': 'I', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['K', 'UH0', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'COULD', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100124
8,10.0,6,7,7,"[{'accuracy': 10, 'phones': array(['S', 'AH0', 'M'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'SOME', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'V'], dtype=object), 'phones-accuracy': array([2. , 1.6]), 'stress': 10, 'text': 'OF', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'EH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'MEN', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'EH0', 'R'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'WHERE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'AO1', 'K', 'IH0', 'NG'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'TALKING', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'W', 'EY1'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'AWAY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([1.6, 2. ]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'EY1', 'B', 'L', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 2. , 1.8]), 'stress': 10, 'text': 'TABLES', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100128
8,10.0,7,7,7,"[{'accuracy': 10, 'phones': array(['M', 'AY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'MY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['D', 'AO1', 'T', 'ER0'], dtype=object), 'phones-accuracy': array([1.6, 2. , 2. , 2. ]), 'stress': 10, 'text': 'DAUGHTER', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['Y', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'YOU', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'AH0', 'S', 'T'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.8]), 'stress': 10, 'text': 'MUST', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['R', 'IH0', 'T', 'ER1', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'RETURN', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'TO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['Y', 'AO0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'YOUR', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['P', 'L', 'EY0', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'PLACE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100132
8,10.0,9,8,8,"[{'accuracy': 10, 'phones': array(['IH0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AH0', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.6]), 'stress': 10, 'text': 'WAS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'AY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'MY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'AA0', 'S', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'LAST', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'IY0', 'K'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'WEEK', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'EH0', 'R'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'THERE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100147
9,10.0,9,8,8,"[{'accuracy': 10, 'phones': array(['HH', 'IY0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'HE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'UH0', 'K', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'LOOKED', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'R', 'AW1', 'N', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'AROUND', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['HH', 'IH0', 'M'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'HIM', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AE0', 'N', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'AND', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['B', 'IH0', 'G', 'AE0', 'N'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.8, 2. ]), 'stress': 10, 'text': 'BEGAN', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100154
8,10.0,8,8,8,"[{'accuracy': 10, 'phones': array(['DH', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH1', 'DH', 'ER0'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'OTHER', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['HH', 'AE0', 'V'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'HAVE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AO0', 'L'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'ALL', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['R', 'IH0', 'T', 'ER1', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'RETURN', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100159
9,10.0,8,7,9,"[{'accuracy': 10, 'phones': array(['AE0', 'N', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'AND', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['HH', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'HE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'EH0', 'N', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'WENT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['B', 'AE0', 'K'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'BACK', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'AO0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'FOR', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'AO0', 'R'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'MORE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",6010,f,12,train,060100164
